# Date,Receipt_Count
1/1/2021,7564766
1/2/2021,7455524
1/3/2021,7095414
1/4/2021,7666163
1/5/2021,7771289
1/6/2021,7473320
1/7/2021,7832624
1/8/2021,7765028
1/9/2021,7385245
1/10/2021,7392087
1/11/2021,7738899
1/12/2021,7840830
1/13/2021,8122546
1/14/2021,7694195
1/15/2021,7200595
1/16/2021,7744470
1/17/2021,7610648
1/18/2021,7880913
1/19/2021,7250032
1/20/2021,7666397
1/21/2021,7742477
1/22/2021,7807438
1/23/2021,7603625
1/24/2021,7572947
1/25/2021,7598153
1/26/2021,7194687
1/27/2021,7787109
1/28/2021,7631075
1/29/2021,7750536
1/30/2021,8059526
1/31/2021,7838129
2/1/2021,7714465
2/2/2021,7766408
2/3/2021,7832259
2/4/2021,7506461
2/5/2021,7816477
2/6/2021,7360372
2/7/2021,8039414
2/8/2021,7858632
2/9/2021,7810951
2/10/2021,7579882
2/11/2021,8127696
2/12/2021,7748085
2/13/2021,8117805
2/14/2021,7780006
2/15/2021,7916028
2/16/2021,7736671
2/17/2021,8082781
2/18/2021,7824063
2/19/2021,7761256
2/20/2021,7821879
2/21/2021,7760399
2/22/2021,8330147
2/23/2021,8053953
2/24/2021,7816117
2/25/2021,8156649
2/26/2021,7857443
2/27/2021,7881212
2/28/2021,7975949
3/1/2021,7970632
3/2/2021,7998865
3/3/2021,7748662
3/4/2021,8080043
3/5/2021,7971011
3/6/2021,8309959
3/7/2021,7945271
3/8/2021,8352635
3/9/2021,7861647
3/10/2021,7920726
3/11/2021,7921232
3/12/2021,8142874
3/13/2021,7731725
3/14/2021,8070687
3/15/2021,7825047
3/16/2021,7920469
3/17/2021,7946897
3/18/2021,8090998
3/19/2021,8415152
3/20/2021,8325436
3/21/2021,8105278
3/22/2021,7562433
3/23/2021,8096085
3/24/2021,8034268
3/25/2021,8050876
3/26/2021,8077321
3/27/2021,7999117
3/28/2021,8082481
3/29/2021,8126444
3/30/2021,7911341
3/31/2021,8013013
4/1/2021,8353242
4/2/2021,8042185
4/3/2021,8401675
4/4/2021,8134408
4/5/2021,8422480
4/6/2021,8140096
4/7/2021,8385138
4/8/2021,8619576
4/9/2021,7961949
4/10/2021,8388608
4/11/2021,8458290
4/12/2021,8206730
4/13/2021,8319338
4/14/2021,8726486
4/15/2021,8342572
4/16/2021,8438884
4/17/2021,8186918
4/18/2021,8195134
4/19/2021,8366630
4/20/2021,8282495
4/21/2021,8641338
4/22/2021,8521710
4/23/2021,8255078
4/24/2021,8221890
4/25/2021,8509398
4/26/2021,8055670
4/27/2021,8266410
4/28/2021,8367438
4/29/2021,8704248
4/30/2021,8728816
5/1/2021,8231674
5/2/2021,8278534
5/3/2021,8727522
5/4/2021,8649710
5/5/2021,8519563
5/6/2021,8435867
5/7/2021,8227322
5/8/2021,8383810
5/9/2021,8109287
5/10/2021,8518147
5/11/2021,8472640
5/12/2021,8359580
5/13/2021,8262562
5/14/2021,8503389
5/15/2021,8498352
5/16/2021,9066670
5/17/2021,8744235
5/18/2021,8688343
5/19/2021,8475700
